"title","lyrics","sheet_url","moment"
"A Espada","| 3
Ezequiel 21, 14-22
S. Espada, espada brufiida para matar A. ESPADA, ESPADA BRUNIDA PARA MATAR
A. ESPADA, ESPADA BRUNIDA PARA MATAR
o A. MARÍA, MARÍA MADRE DE DIOS
S. María, María madre de Dios E o
A. MARÍA, MARÍA MADRE DE DIOS S. Brunida para matar,
| Brunida para matar.

S. Grita, filho do homem Grita, filho do homem

Grita, filho do homem Ê Grita, filho do homem =

a espada é para o meu povo, a espada é para o meu povo,

espada para o meu povo. espada para o meu povo.
A. ESPADA, ESPADA BRUNIDA PARA MATAR A. ESPADA, ESPADA BRUNIDA PARA MATAR
A. MARÍA, MARÍA MADRE DE DIOS A. MARÍA, MARÍA MADRE DE DIOS
S. Vira à tua direita

vira para a tua esquerda |

ali onde os teus gumes ficarão saciados,

ali onde se saciará a minha alma.

Pode ser substituido por Sol 9h E
3","https://media.ressuscitou.pt/book/a_espada.png","Branco|Penitencial"
"A Ti levanto os meus olhos","6
| | - - - ! -
Salmo 123 (122)

A. ATILEVANTO OS MEUS OLHOS, | (BIS)
A TI, QUE HABITAS NO CÉU.

S. Como os olhos dos servos o
estão fixos nas mãos dos seus senhores,
como os olhos da escrava nas mãos da sua senhora,
assim os nossos olhos estão postos no Senhor,
esperando que tenha piedade,
esperando que tenha piedade.
mulheres: PIEDADE DE NÓS, SENHOR,
Homens: PIEDADE DE NÓS, SENHOR!
Mulheres: QUE DE NÓS TÊM ZOMBADO POR DE MAIS,
Homens: QUE A NOSSA ALMA ESTÁ SACIADA DE DESPREZO,
Mulheres: DO SARCASMO DOS SATISFEITOS,
Homens: DO DESPREZO DOS SOBERBOS.
Mulheres: PIEDADE DE NÓS, SENHOR,
Homens: PIEDADE DE NÓS, SENHOR!

A. ATILEVANTO OS MEUS OLHOS...

6","https://media.ressuscitou.pt/book/a_ti_levanto_os_meus_olhos.png","Branco|Penitencial"
"A Ti, Senhor, elevo a minha alma","8 E
Salmo 25 (24)

Travessão: 3.º trasto

S. ATi, Senhor, elevo a minha alma,

(BIS A)

a Ti, é meu Deus.

S. Em Ticonfio, Senhor,
não triunfem sobre mim os meus inimigos.
Mostra-me, Senhor, o teu caminho,
ensina-me, Senhor, a tua senda.

A. ATI, SENHOR, ELEVO A MINHA ALMA,
A TI, Ó MEU DEUS.

S. Recorda-Te, Senhor, da tua ternura
e da tua imensa compaixão, que são de sempre.
Dos meus pecados, Senhor, não Te recordes,
recorda-Te, Senhor, que és misericórdia.
Asperge-me, Senhor, com a tua misericórdia,
submerge-me, Senhor, na tua misericórdia.

A. ATI, SENHOR, ELEVO A MINHA ALMA,
A TI, Ó MEU DEUS.

8","https://media.ressuscitou.pt/book/a_ti_senhor_elevo_a_minha_alma.png","Branco|Penitencial"
"A Ti, Senhor, em meu clamor imploro","| | | 9
Travessão: 2.º trasto Raimi Nas do
A. ATI, SENHOR, EM MEU CLAMOR IMPLORO, S. Escuta, Senhor, que estou a chorar,
A TI, SENHOR, EM MEU CLAMOR SUPLICO. estou tão deprimido.
ATI DERRAMO O MEU LAMENTO,
A TI MINHA ANGÚSTIA EXPONHO. Livra-me destes inimigos,
que são mais fortes do que eu.
S. Quando o meu ânimo desfalece,
Tu conheces as minhas veredas. Tira a minha alma deste cárcere,
e darei graças ao teu nome!
Vê, Senhor, que no caminho, Ê
vê, Senhor, que me armaram um laço. Os justos alegrar-se-ão à minha volta,
Vê, Senhor, à direita não há ninguém, felicitar-me-ão pelo bem que me fizeste.
ninguém que me conheça.
Foge de mim todo o consolo, A. ATI, SENHOR, EM MEU CLAMOR IMPLORO...
não há quem cuide da minha alma.
A. ATIEUCLAMO, SENHOR...
A. ATIEU CLAMO, SENHOR,
A TI EU DIGO: SÓ TU ÉS O MEU REFÚGIO,
TU ÉS A MINHA HERANÇA NESTA TERRA,
A MINHA ÚNICA FELICIDADE.
9","https://media.ressuscitou.pt/book/a_ti_senhor_em_meu_clamor_imploro.png","Branco|Penitencial"
"A Ti, Senhor, é devido o louvor em Sião","ES | 7
Travessão: 3.º trasto Salmo 65 (64)
S. A Ti Senhor, é devido o louvor em Sião, S. Nos saciaremos dos bens da tua casa,
a Ti se cumpre o voto em Jerusalém. da santidade do teu templo.
A Ti, que escutas a oração, Com os prodígios do teu amor, Tu nos falas,
vem todo o mortal, vem todo o mortal. com os prodígios da tua justiça, nos respondes.
À Ti, que escutas a oração,
A. ATI, QUE ESCUTAS A ORAÇÃO, vem todo o mortal, vem todo o mortal.
VEM TODO O MORTAL,
VEM TODO O MORTAL. A. ATI, QUE ESCUTAS A ORAÇÃO,
VEM TODO O MORTAL,
S. Pesam sobre nós os nossos pecados, VEM TODO O MORTAL.
mas Tu perdoas as nossas culpas.
Ditoso quem Tu eleges e chamas,
viverá nos teus átrios.
À Ti, que escutas a oração,
vem todo o mortal, vem todo o mortal.
A. ATI, QUE ESCUTAS A ORAÇÃO,
VEM TODO O MORTAL,
VEM TODO O MORTAL.
7","https://media.ressuscitou.pt/book/a_ti_senhor_e_devido_o_louvor_em_siao.png","Branco|Penitencial|Laudes"
"A cabana dos pastores","CATECUMENADO
dm Ea 301
Cântico dos Cânticos 1, 1-4; 7-8

S. Que me beije com beijos da sua boca!

Melhor que o vinho são teus amores,

O teu nome é perfume derramado,

por isso Te amam as donzelas.
A. LEVA-ME ATRÁS DE TI, SAIAMOS,

LEVA-ME ATRAS DE TI, CORRAMOS!

Lar?

CELEBRAREMOS TEUS AMORES MAIS QUE O VINHO,

COM QUANTA RAZÃO ES AMADO.

FAZ-ME SABER, AMADO DA MINHA ALMA,

ONDE APASCENTAS O REBANHO (BIS)

PARA QUE EU NÃO ANDE VAGUEANDO,

ATRAS DE OUTROS COMPANHEIROS.
S. Se não o sabes, ó mais bela das mulheres,

ih La
segue o caminho do meu rebanho
e leva por aí as tuas cabras,
Re

até à cabana dos pastores.

A. LEVA-ME ATRÁS DE TI, SAIAMOS...
301","https://media.ressuscitou.pt/book/a_cabana_dos_pastores.png","Comunhão|Azul"
"A ceifa das nações","PRÉ-CATECUMENADO 1
João 4, 31-38
S. Chegaram os seus discípulos e disseram-lhe: A. NÃO DIZEIS VÓS...
“Rabi, come! Rabi, come!”
Ele, porém, disse-lhes: S. Já se reúnem os ceifeiros,
“Eu tenho para comer um alimento A. JÁSE REÚNEM OS CEIFEIROS,
que vós não conheceis. S. erecebem o salário e recolhem o fruto
O meu alimento é fazer a vontade para a vida eterna.
d'Aquele que me enviou A. PARA A VIDA ETERNA
e consumar a sua obra”.
A. NÃO DIZEIS VÓS...
A. NÃO DIZEIS VÓS:
“AINDA QUATRO MESES S. Eu enviei-vos a ceifar
E CHEGARÁ A CEIFA”? o que vós não trabalhastes.
NÃO DIZEIS VÓS: Outros se afadigaram
“AINDA QUATRO MESES e vós aproveitais-vos da sua fadiga,
E CHEGARÁ A CEIFA”? de modo que o semeador
se alegra, se alegra com o ceifeiro.
S. Pois bem, eu vos digo, |
erguei os olhos e vede os campos: A. NÃO DIZEIS VÓS...
já branqueiam para a ceifa,
já branqueiam para a ceifa.
1","https://media.ressuscitou.pt/book/a_ceifa_das_nacoes.png","Branco|Final"
"A cordeira de Deus","travessão: 4.º trasto Mateus 1, 18ss
S. Era a Virgem Maria prometida de José, S. Uma noite José levantou-se,
quando, antes de terem vivido juntos, tomou o Menino e sua Mãe
se encontrou grávida por obra e fugiu para o Egipto Ê
do Espírito Santo. porque queriam matar o Menino.
| Que amarga é a água, Maria,
José, como era justo
e não queria repudiá-la, o A. CORDEIRA DE DEUS...
decidiu abandoná-la em segredo. |
Que amarga é a água, Maria, S. Ouve-se um grito em Ramá,... (Ai Ai),
um pranto e um lamento grande:
A. CORDEIRA DE DEUS, HUMILDE CORDEIRA, é Raquel que chora os seus filhos
QUE NÃO RESISTES AO MAL, e não quer ser consolada,
MÃE DE JESUS E NOSSA MÃE, porque já não existem.
ROGA POR NÓS, Que amarga é a água, Maria,
ROGA POR NÓS.
| A. CORDEIRA DE DEUS...
S. Maria deu à luz o seu filho, |
envolveu-O em faixas Ss. O Anjo do Senhor disse a José no Egipto:
e recostou-O numa manjedoura “Levanta-te, toma o Menino e sua Mãe
porque não havia lugar para eles na pousada. e volta para a terra de Israel,
Que amarga é a água, Maria, porque “do Egipto chamei o meu Filho.”
A. CORDEIRA DE DEUS... A. CORDEIRA DE DEUS...
2","https://media.ressuscitou.pt/book/a_cordeira_de_deus.png","Branco|Natal|Penitencial|Virgem Maria"
"A marcha é dura","4
Cântico espiritual negro: “Go Down Moses - Let my people go”
S. A marcha é dura, forte é o sol,
lento o caminhar.
Moisés, o guia de Israel,
libertá-lo-á.
| I
A. OUVE, PAI, O GRITO DO TEU POVO,
OUVE, PAI, MANDA O SALVADOR.
S. O povo anseia vida e paz,
quer ressurgir.
Moisés, o guia de Israel,
libertá-lo-á.
A. OUVE, PAI, O GRITO DO TEU POVO,
OUVE, PAI, MANDA O SALVADOR.
4","https://media.ressuscitou.pt/book/a_marcha_e_dura.png","Branco|Penitencial"
"A ninguém dêmos ocasião de tropeço","| 24 Coríntios 6, 388
S. Irmãos, a ninguém dêmos ocasião de tropeço. S. Irmãos, temo-vos falado com franqueza,
Irmãos, vivamos aceitando as tribulações: temo-vos falado com verdade.
necessidades, angústias e fadigas. Não vos ligueis ao jugo desigual com os pagãos.
Vivendo na pureza, paciência e bondade, Que relação há entre o fiel e o infiel?
pelo Espírito Santo e pelo poder de Deus, Que união entre o santuário de Deus
com as armas da justiça: e o santuário dos ídolos?
as da direita e as da esquerda. Porque nós somos o santuário de Deus.
A. IRMÃOS, A NINGUÉM DÊMOS A. IRMÃOS, A NINGUÉM DÊMOS...
OCASIÃO DE TROPEÇO.
IRMÃOS, VIVAMOS ACEITANDO S. Tenho plena confiança ao falar-vos
AS TRIBULAÇÕES: | porque estou orgulhoso de vós.
NECESSIDADES, ANGÚSTIAS E FADIGAS. Não vos ligueis ao jugo desigual com os pagãos.
Que relação há entre o fiel e o infiel?
S. Nas calúnias e na boa fama, Que união entre o santuário de Deus
na glória e na ignomínia, e o santuário dos ídolos?
como pobres mas enriquecendo a muitos, Porque nós somos o santuário de Deus.
como aqueles que nada têm,
mas possuindo tudo. A. IRMÃOS, A NINGUÉM DÊMOS...
A. IRMÃOS, A NINGUÉM DÊMOS... S. Na pureza, paciência e bondade, |
pelo Espírito Santo e pelo poder de Deus.
5","https://media.ressuscitou.pt/book/a_ninguem_demos_ocasiao_de_tropeco.png","Branco"
